Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.718194,0.82,0.0130536,-1.3089e-16,-5.86472e-17,1.39775,-4.67087,5.41969,-2.15608,-0.380423,0.0253449,0.00799725,-0.000177591,4.06623,-13.4526,15.514,-6.14642,1.37639,-0.0780037,0.00259846,0.000546568,-7.77714,26.0623,-30.2901,12.063,0,0,0,0,0,0,0,0
0.703831,0.84,0.0130536,-3.54611e-18,-3.2256e-16,1.54213,-5.25853,6.22609,-2.52743,-0.323607,0.048209,0.00680286,-0.000337798,6.91638,-23.4669,27.7,-11.2214,1.26489,-0.0663539,0.00494257,0.000464939,-6.77527,23.2262,-27.5859,11.2214,0,0,0,0,0,0,0,0
0.718194,0.86,0.0130536,-2.89851e-16,-1.1143e-15,1.39775,-4.67087,5.41969,-2.15608,-0.235114,0.0663539,0.00494257,-0.000464939,7.86094,-26.2024,30.3551,-12.063,1.17639,-0.048209,0.00680286,0.000337798,-3.90177,13.1776,-15.3863,6.14642,0,0,0,0,0,0,0,0
0.703831,0.88,0.0130536,-2.00913e-16,9.09031e-16,1.54213,-5.25853,6.22609,-2.52743,-0.123607,0.0780037,0.00259846,-0.000546568,9.57787,-32.6372,38.6243,-15.6741,1.11958,-0.0253449,0.00799725,0.000177591,-1.41596,4.99686,-6.03586,2.48254,0,0,0,0,0,0,0,0
0.718194,0.9,0.0130536,1.12268e-17,-4.39854e-16,1.39775,-4.67087,5.41969,-2.15608,-9.79965e-16,0.082018,-3.65992e-16,-0.000574696,8.65303,-28.9438,33.6017,-13.372,1.1,8.05762e-16,0.0084088,-4.63313e-15,1.46395,-4.74048,5.3945,-2.11791,0,0,0,0,0,0,0,0
0.703831,0.92,0.0130536,-4.22808e-16,-5.86472e-17,1.54213,-5.25853,6.22609,-2.52743,0.123607,0.0780037,-0.00259846,-0.000546568,8.58094,-29.3411,34.7955,-14.1398,1.11958,0.0253449,0.00799725,-0.000177591,4.4842,-15.1411,17.8197,-7.2046,0,0,0,0,0,0,0,0
0.718194,0.94,0.0130536,-2.34598e-16,-5.86472e-17,1.39775,-4.67087,5.41969,-2.15608,0.235114,0.0663539,-0.00494257,-0.000464939,6.13996,-20.6297,24.0135,-9.57328,1.17639,0.048209,0.00680286,-0.000337798,6.27048,-20.8479,24.1148,-9.57328,0,0,0,0,0,0,0,0
0.703831,0.96,0.0130536,2.87484e-16,-8.79708e-16,1.54213,-5.25853,6.22609,-2.52743,0.323607,0.048209,-0.00680286,-0.000337798,4.30638,-14.8377,17.676,-7.2046,1.26489,0.0663539,0.00494257,-0.000464939,8.67154,-29.4957,34.8687,-14.1398,0,0,0,0,0,0,0,0
0.718194,0.98,0.0130536,1.49211e-16,1.02633e-15,1.39775,-4.67087,5.41969,-2.15608,0.380423,0.0253449,-0.00799725,-0.000177591,1.28164,-4.43566,5.25302,-2.11791,1.37639,0.0780037,0.00259846,-0.000546568,8.68191,-28.9921,33.6241,-13.372,0,0,0,0,0,0,0,0
1.0725,1,0.0130536,3.66964e-16,-3.51883e-16,0.158717,-0.35517,0.275966,-0.0735173,0.4,4.5395e-17,-0.0084088,3.51883e-16,-0.171536,0.366711,-0.276866,0.0723213,1.5,0.082018,3.29535e-15,-0.000574696,0.983006,-2.2031,1.71319,-0.456619,0,0,0,0,0,0,0,0
1.0725,1.02,0.0130536,2.81282e-16,9.38355e-16,0.158717,-0.35517,0.275966,-0.0735173,0.380423,-0.0253449,-0.00799725,0.000177591,-0.466906,1.02956,-0.792719,0.209885,1.62361,0.0780037,-0.00259846,-0.000546568,0.881886,-1.98195,1.54378,-0.411922,0,0,0,0,0,0,0,0
1.53215,1.04,0.0130536,-5.90924e-16,1.26091e-15,-1.04863e-15,-1.18417e-15,-8.04182e-16,-5.03228e-18,0.323607,-0.048209,-0.00680286,0.000337798,2.40313e-05,-8.57821e-07,2.60946e-15,-4.61884e-16,1.73511,0.0663539,-0.00494257,-0.000464939,1.74598e-05,8.57821e-07,2.6596e-15,-4.66641e-16,0,0,0,0,0,0,0,0
1.53215,1.06,0.0130536,-2.55577e-16,-1.17294e-15,3.42709e-15,-4.69606e-15,2.17555e-15,-3.68186e-16,0.235114,-0.0663539,-0.00494257,0.000464939,1.74598e-05,-1.08092e-06,-8.291e-15,1.63425e-15,1.82361,0.048209,-0.00680286,-0.000337798,2.40313e-05,5.50755e-07,3.5892e-15,-8.73481e-16,0,0,0,0,0,0,0,0
1.53215,1.08,0.0130536,1.92051e-17,0,-7.10941e-17,3.23088e-16,4.44555e-16,1.38853e-16,0.123607,-0.0780037,-0.00259846,0.000546568,9.17915e-06,-1.19821e-06,-9.31059e-15,1.56908e-15,1.88042,0.0253449,-0.00799725,-0.000177591,2.82505e-05,1.89777e-07,-7.13384e-16,2.3169e-16,0,0,0,0,0,0,0,0
1.53215,1.1,0.0130536,1.25572e-16,1.46618e-16,-2.30181e-16,-8.40625e-16,1.03927e-15,-8.71482e-17,-3.92135e-16,-0.082018,-6.5061e-16,0.000574696,-3.68385e-15,-1.19821e-06,-1.55626e-15,2.46737e-16,1.9,5.4713e-16,-0.0084088,-2.58048e-15,2.97043e-05,-1.89777e-07,2.55075e-15,-2.35875e-16,0,0,0,0,0,0,0,0
1.53215,1.12,0.0130536,-2.30756e-16,3.2256e-16,2.50093e-18,-3.10508e-15,7.21967e-17,1.21758e-17,-0.123607,-0.0780037,0.00259846,0.000546568,-9.17915e-06,-1.08092e-06,-6.93076e-16,6.92941e-17,1.88042,-0.0253449,-0.00799725,0.000177591,2.82505e-05,-5.50755e-07,-5.40475e-17,-2.15566e-16,0,0,0,0,0,0,0,0
1.53215,1.14,0.0130536,-3.56034e-16,-5.27825e-16,1.42544e-15,-1.35445e-16,3.65333e-16,-8.04262e-18,-0.235114,-0.0663539,0.00494257,0.000464939,-1.74598e-05,-8.57821e-07,-3.96092e-15,6.27401e-16,1.82361,-0.048209,-0.00680286,0.000337798,2.40313e-05,-8.57821e-07,-3.17742e-15,3.11396e-16,0,0,0,0,0,0,0,0
1.53215,1.16,0.0130536,4.09512e-16,8.79708e-17,-2.51822e-15,2.36357e-15,-6.87045e-16,5.03864e-16,-0.323607,-0.048209,0.00680286,0.000337798,-2.40313e-05,-5.50755e-07,-2.92152e-15,5.96501e-16,1.73511,-0.0663539,-0.00494257,0.000464939,1.74598e-05,-1.08092e-06,3.73687e-15,-2.2504e-16,0,0,0,0,0,0,0,0
1.53215,1.18,0.0130536,3.12013e-16,2.46318e-15,-4.80864e-15,4.47743e-15,-7.67802e-16,2.76988e-16,-0.380423,-0.0253449,0.00799725,0.000177591,-2.82505e-05,-1.89777e-07,-2.4664e-15,4.59814e-16,1.62361,-0.0780037,-0.00259846,0.000546568,9.17915e-06,-1.19821e-06,8.88894e-15,-1.69644e-15,0,0,0,0,0,0,0,0
1.53215,1.2,0.0130536,-1.47749e-17,-1.02633e-15,1.68288e-15,1.3333e-15,-8.38563e-16,4.76513e-17,-0.4,-1.91137e-16,0.0084088,1.1143e-15,-2.97043e-05,1.89777e-07,-3.16788e-15,6.91518e-16,1.5,-0.082018,2.49681e-16,0.000574696,6.90691e-15,-1.19821e-06,5.56391e-15,-8.05481e-16,0,0,0,0,0,0,0,0
1.53215,1.22,0.0130536,-4.74809e-16,-8.79708e-17,5.80065e-16,-1.11565e-16,1.25414e-15,-2.19281e-17,-0.380423,0.0253449,0.00799725,-0.000177591,-2.82505e-05,5.50755e-07,-2.31006e-15,4.1403e-16,1.37639,-0.0780037,0.00259846,0.000546568,-9.17915e-06,-1.08092e-06,-2.17323e-15,2.2237e-16,0,0,0,0,0,0,0,0
1.53215,1.24,0.0130536,2.91029e-16,-9.38355e-16,1.47134e-15,-1.96938e-16,-1.16222e-16,-3.63769e-17,-0.323607,0.048209,0.00680286,-0.000337798,-2.40313e-05,8.57821e-07,2.2817e-15,-3.71529e-16,1.26489,-0.0663539,0.00494257,0.000464939,-1.74598e-05,-8.57821e-07,-2.92052e-15,6.28688e-16,0,0,0,0,0,0,0,0
1.53215,1.26,0.0130536,-1.13339e-15,1.08497e-15,2.33647e-16,-4.81353e-16,-2.31906e-16,1.05446e-16,-0.235114,0.0663539,0.00494257,-0.000464939,-1.74598e-05,1.08092e-06,1.98198e-15,-2.3145e-16,1.17639,-0.048209,0.00680286,0.000337798,-2.40313e-05,-5.50755e-07,-1.51509e-15,1.71155e-16,0,0,0,0,0,0,0,0
1.53215,1.28,0.0130536,1.6345e-15,-3.40154e-15,4.58676e-16,-2.80895e-15,1.51971e-15,-7.51227e-17,-0.123607,0.0780037,0.00259846,-0.000546568,-9.17915e-06,1.19821e-06,-3.04829e-15,7.41838e-16,1.11958,-0.0253449,0.00799725,0.000177591,-2.82505e-05,-1.89777e-07,-7.71535e-16,1.43244e-16,0,0,0,0,0,0,0,0
1.53215,1.3,0.0130536,-4.08595e-15,5.13163e-15,2.42232e-15,-2.16886e-15,7.55672e-16,-1.72989e-16,-1.07794e-15,0.082018,9.69779e-15,-0.000574696,-2.14233e-14,1.19821e-06,-2.49047e-15,2.22722e-16,1.1,4.39633e-14,0.0084088,-2.45145e-14,-2.97043e-05,1.89777e-07,2.76463e-15,-4.26593e-16,0,0,0,0,0,0,0,0
1.53215,1.32,0.0130536,9.76592e-15,-1.02633e-14,-6.35252e-15,2.73543e-15,1.16428e-16,1.43343e-16,0.123607,0.0780037,-0.00259846,-0.000546568,9.17915e-06,1.08092e-06,4.09308e-15,-6.84145e-16,1.11958,0.0253449,0.00799725,-0.000177591,-2.82505e-05,5.50755e-07,5.66756e-15,-1.02636e-15,0,0,0,0,0,0,0,0
1.53215,1.34,0.0130536,-2.30541e-14,2.28138e-14,1.7044e-14,-6.23256e-15,2.30686e-16,1.21659e-16,0.235114,0.0663539,-0.00494257,-0.000464939,1.74598e-05,8.57821e-07,-4.6122e-16,1.17202e-16,1.17639,0.048209,0.00680286,-0.000337798,-2.40313e-05,8.57821e-07,1.18525e-15,-5.70453e-16,0,0,0,0,0,0,0,0
1.53215,1.36,0.0130536,5.36205e-14,-5.29877e-14,-4.51043e-14,1.8983e-14,-2.9104e-16,1.03426e-16,0.323607,0.048209,-0.00680286,-0.000337798,2.40313e-05,5.50755e-07,1.85287e-15,-2.74696e-16,1.26489,0.0663539,0.00494257,-0.000464939,-1.74598e-05,1.08092e-06,3.40488e-15,-4.47545e-16,0,0,0,0,0,0,0,0
1.53215,1.38,0.0130536,-1.24119e-13,1.2225e-13,1.0241e-13,-4.36239e-14,-1.50445e-17,1.93123e-16,0.380423,0.0253449,-0.00799725,-0.000177591,2.82505e-05,1.89777e-07,-3.05182e-16,9.77718e-17,1.37639,0.0780037,0.00259846,-0.000546568,-9.17915e-06,1.19821e-06,4.04825e-15,-6.98497e-16,0,0,0,0,0,0,0,0
1.53215,1.4,0.0130536,2.8978e-13,-2.85495e-13,-2.38071e-13,1.03694e-13,-1.97927e-15,2.1152e-16,0.4,-1.17587e-12,-0.0084088,6.59664e-13,2.97043e-05,-1.89777e-07,-1.23187e-15,1.00363e-16,1.5,0.082018,-1.69531e-12,-0.000574696,1.37701e-12,1.19821e-06,2.39365e-15,1.31717e-16,0,0,0,0,0,0,0,0
1.53215,1.42,0.0130536,-6.73081e-13,6.672e-13,5.43428e-13,-2.33829e-13,-5.61337e-16,6.66865e-18,0.380423,-0.0253449,-0.00799725,0.000177591,2.82505e-05,-5.50754e-07,6.5849e-16,-5.9482e-17,1.62361,0.0780037,-0.00259846,-0.000546568,9.17914e-06,1.08092e-06,-3.04281e-15,5.3893e-16,0,0,0,0,0,0,0,0
1.53215,1.44,0.0130536,1.56185e-12,-1.54682e-12,-1.2672e-12,5.46898e-13,2.62871e-16,6.00603e-17,0.323607,-0.048209,-0.00680286,0.000337798,2.40313e-05,-8.57822e-07,-1.9997e-15,2.18711e-16,1.73511,0.0663539,-0.00494257,-0.000464939,1.74598e-05,8.57818e-07,1.2091e-15,1.22569e-16,0,0,0,0,0,0,0,0
1.53215,1.46,0.0130536,-3.62957e-12,3.59372e-12,2.94759e-12,-1.27897e-12,1.32833e-16,6.61919e-17,0.235114,-0.0663539,-0.00494257,0.000464939,1.74598e-05,-1.08091e-06,-5.04533e-16,9.06122e-17,1.82361,0.048209,-0.00680286,-0.000337798,2.40313e-05,5.50762e-07,4.1494e-15,-7.19192e-16,0,0,0,0,0,0,0,0
1.53215,1.48,0.0130536,8.42896e-12,-8.34646e-12,-6.84252e-12,2.96902e-12,1.54646e-15,-1.97609e-17,0.123607,-0.0780037,-0.00259846,0.000546568,9.17916e-06,-1.19821e-06,-1.01546e-15,1.97135e-16,1.88042,0.0253449,-0.00799725,-0.000177591,2.82505e-05,1.8976e-07,2.01406e-15,-4.27038e-16,0,0,0,0,0,0,0,0
1.53215,1.5,0.0130536,-1.95766e-11,1.93862e-11,1.58916e-11,-6.891e-12,-1.78171e-15,-5.99718e-17,1.12692e-15,-0.082018,4.47853e-11,0.000574696,-3.63605e-11,-1.19819e-06,1.18189e-15,-3.54873e-16,1.9,2.03239e-10,-0.0084088,-1.1357e-10,2.97043e-05,-1.89737e-07,1.126e-15,-5.96223e-16,0,0,0,0,0,0,0,0
